# Busqueda lineal. Tiempos en microsegundos
# Talla       Mejor       Peor     Promedio
#------------------------------------------
   10000      0.070      4.009      2.987
   20000      0.064      9.307      5.285
   30000      0.061     13.625      7.765
   40000      0.065     18.168     10.402
   50000      0.061     23.289     13.583
   60000      0.061     27.943     15.617
   70000      0.061     31.749     18.165
   80000      0.063     36.375     20.767
   90000      0.061     40.691     23.343
  100000      0.061     45.345     25.804
