# Insercion. Tiempos en microsegundos.
# Talla    Mejor       Peor     Promedio 
#----------------------------------------
   1000       2.294    1084.375     532.687
    2000       6.483    4588.419    2213.154
    3000       8.435   10297.461    4665.939
    4000      11.436   16283.178    8053.524
    5000      14.825   26246.336   12688.499
    6000      22.883   45296.607   30440.452
    7000      32.954   62883.055   37625.235
    8000      37.284   79925.767   48074.696
    9000      33.280   99759.108   63525.032
 
